Crop,Country,District,Year,Month,Rainfall_mm,Temperature_C,Fertilizer,N,P,K,Yield_t_per_ha
Rice,Sri Lanka,Trincomalee,2022,1,143.7,24.56,74.23,70.93,20.49,18.45,4.42
Tea,Sri Lanka,Ratnapura,2019,8,263.95,24.35,75.37,61.99,19.04,18.18,2.71
Cinnamon,Sri Lanka,Matara,2019,10,172.22,28.94,73.56,56.39,25.44,15.12,0.64
Rubber,Sri Lanka,Matara,2020,12,180.53,27.44,82.52,73.17,30.88,16.66,1.52
Cinnamon,Sri Lanka,Matara,2019,12,135.17,25.28,89.53,65.32,25.81,19.28,0.67
Rice,Sri Lanka,Anuradhapura,2015,2,113.15,30.08,68.33,55.49,20.44,15.0,4.49
Sugarcane,Sri Lanka,Anuradhapura,2018,12,62.61,32.12,78.91,59.07,28.96,20.56,65.35
Cinnamon,Sri Lanka,Kalutara,2023,5,214.29,25.24,79.38,80.25,25.72,24.16,0.75
Rubber,Sri Lanka,Galle,2019,11,184.57,28.73,67.32,67.43,18.0,17.08,1.42
Cinnamon,Sri Lanka,Kalutara,2019,3,129.32,24.06,72.69,62.08,21.54,21.78,0.69
Rubber,Sri Lanka,Ratnapura,2015,5,245.06,32.11,83.5,54.62,19.83,20.14,1.64
Cinnamon,Sri Lanka,Galle,2019,2,135.45,22.7,71.22,52.81,21.34,25.31,0.53
Cinnamon,Sri Lanka,Kalutara,2024,5,177.17,30.91,82.75,67.48,27.2,21.84,0.52
Cinnamon,Sri Lanka,Galle,2020,11,176.89,28.92,71.45,48.73,18.0,20.35,0.66
Rice,Sri Lanka,Trincomalee,2025,2,96.8,26.24,74.48,58.53,26.16,21.43,4.53
Rice,Sri Lanka,Polonnaruwa,2020,4,166.67,25.97,69.23,56.04,18.0,15.0,4.5
Rice,Sri Lanka,Polonnaruwa,2020,10,115.83,26.37,83.9,80.56,26.37,21.56,4.26
Tea,Sri Lanka,Ratnapura,2020,11,183.51,19.42,71.47,59.85,19.34,23.32,2.47
Tea,Sri Lanka,Badulla,2024,5,216.83,28.03,72.86,61.12,27.27,18.79,2.05
Rubber,Sri Lanka,Kegalle,2021,1,121.62,25.4,72.62,69.31,18.0,15.38,1.53
Sugarcane,Sri Lanka,Anuradhapura,2015,7,143.61,31.76,75.08,61.88,27.91,15.0,76.72
Rice,Sri Lanka,Jaffna,2020,1,120.23,23.22,77.86,56.33,24.8,19.94,4.72
Rice,Sri Lanka,Batticaloa,2020,3,82.08,28.75,79.43,61.47,26.77,20.37,3.61
Rubber,Sri Lanka,Kalutara,2025,6,251.07,26.44,74.63,54.98,19.73,18.37,1.38
Cinnamon,Sri Lanka,Kalutara,2019,4,131.98,29.6,88.31,74.53,29.88,24.38,0.68
Rubber,Sri Lanka,Matara,2022,4,165.05,33.42,82.9,80.9,32.0,18.87,1.86
Rice,Sri Lanka,Anuradhapura,2015,2,106.47,28.91,77.28,65.64,28.01,19.57,5.03
Tea,Sri Lanka,Ratnapura,2020,6,221.5,20.12,84.61,60.9,23.78,15.0,2.41
Cinnamon,Sri Lanka,Kalutara,2019,3,117.1,27.18,75.61,57.15,20.24,24.62,0.53
Rubber,Sri Lanka,Matara,2020,11,135.36,33.87,78.85,65.93,24.95,24.52,1.55
Rubber,Sri Lanka,Kegalle,2022,10,203.76,29.82,73.74,47.33,22.59,18.61,1.64
Rubber,Sri Lanka,Kalutara,2015,1,181.85,27.81,84.37,71.79,24.19,18.82,1.49
Rice,Sri Lanka,Polonnaruwa,2019,2,106.29,20.92,76.4,71.16,24.3,15.8,4.49
Sugarcane,Sri Lanka,Kurunegala,2024,5,126.26,31.72,77.73,61.98,18.0,24.66,73.16
Rice,Sri Lanka,Trincomalee,2015,8,222.99,30.84,87.38,64.5,20.78,15.0,5.17
Rice,Sri Lanka,Jaffna,2025,10,117.65,32.59,68.55,52.53,22.1,18.71,5.11
Tea,Sri Lanka,Ratnapura,2021,12,179.73,24.12,83.98,74.09,27.54,18.18,2.28
Rubber,Sri Lanka,Ratnapura,2019,6,265.77,31.83,76.9,63.89,22.76,15.24,1.62
Tea,Sri Lanka,Kandy,2019,10,211.83,21.78,79.21,54.99,26.76,20.91,2.59
Sugarcane,Sri Lanka,Anuradhapura,2019,2,84.21,25.96,75.79,65.06,22.67,15.0,71.68
Rubber,Sri Lanka,Ratnapura,2025,8,213.71,27.93,74.87,58.08,27.11,25.5,1.35
Rubber,Sri Lanka,Kegalle,2015,3,114.67,30.36,81.7,59.84,28.69,18.95,1.61
Rice,Sri Lanka,Jaffna,2021,11,111.9,28.18,77.75,65.44,22.85,21.23,4.49
Cinnamon,Sri Lanka,Kalutara,2019,6,199.06,30.32,79.36,59.93,24.59,21.36,0.65
Rubber,Sri Lanka,Kalutara,2025,12,177.21,30.49,75.54,69.59,22.67,24.42,1.45
Rice,Sri Lanka,Polonnaruwa,2015,10,137.25,31.21,84.12,62.69,23.09,15.0,4.91
Sugarcane,Sri Lanka,Polonnaruwa,2018,11,85.73,30.66,74.57,59.0,21.07,22.73,72.91
Cinnamon,Sri Lanka,Matara,2025,7,277.68,31.15,70.18,58.05,19.97,15.0,0.73
Cinnamon,Sri Lanka,Galle,2018,12,143.06,27.34,74.25,45.74,18.97,17.45,0.91
Sugarcane,Sri Lanka,Kurunegala,2018,2,66.29,29.59,79.15,65.71,26.21,16.94,75.25
Cinnamon,Sri Lanka,Kalutara,2025,3,125.75,26.02,80.66,60.45,26.96,21.3,0.55
Rice,Sri Lanka,Trincomalee,2024,6,253.41,30.1,72.81,65.11,19.74,19.28,4.58
Cinnamon,Sri Lanka,Matara,2016,12,150.62,24.51,82.8,69.58,27.96,18.37,0.67
Tea,Sri Lanka,Nuwara Eliya,2020,7,247.66,20.52,80.63,59.7,18.22,20.96,2.75
Cinnamon,Sri Lanka,Galle,2022,2,111.18,26.88,75.96,54.32,18.0,15.0,0.54
Rice,Sri Lanka,Polonnaruwa,2019,10,145.39,29.75,74.01,47.48,22.68,15.85,5.18
Sugarcane,Sri Lanka,Kurunegala,2020,1,99.45,29.85,76.67,74.97,26.25,19.44,75.84
Cinnamon,Sri Lanka,Matara,2019,3,93.93,28.24,71.81,67.41,21.17,17.89,0.72
Cinnamon,Sri Lanka,Galle,2023,1,130.52,27.79,80.77,62.71,21.25,15.0,0.73
Rubber,Sri Lanka,Ratnapura,2021,8,197.86,30.5,81.83,56.14,18.0,25.88,1.48
Rice,Sri Lanka,Kurunegala,2018,9,156.26,27.49,81.93,58.79,20.86,23.19,3.63
Tea,Sri Lanka,Kandy,2020,2,152.23,22.54,71.56,61.26,22.61,17.62,2.24
Sugarcane,Sri Lanka,Anuradhapura,2017,2,65.22,30.1,79.0,65.25,32.0,18.72,72.88
Rubber,Sri Lanka,Matara,2020,1,142.59,26.01,83.7,58.84,28.47,15.0,1.72
Tea,Sri Lanka,Nuwara Eliya,2023,3,138.0,24.85,76.5,59.52,20.69,18.73,2.11
Tea,Sri Lanka,Badulla,2018,4,156.4,22.81,76.08,58.57,25.8,19.63,2.33
Cinnamon,Sri Lanka,Kalutara,2025,7,175.35,28.97,73.23,61.14,22.04,25.63,0.45
Rice,Sri Lanka,Anuradhapura,2022,1,101.9,27.5,83.41,72.92,22.33,18.27,5.03
Tea,Sri Lanka,Badulla,2018,1,232.36,22.41,74.46,45.55,23.46,15.0,2.32
Tea,Sri Lanka,Matara,2024,11,164.25,18.34,67.26,49.68,21.02,19.76,2.27
Sugarcane,Sri Lanka,Polonnaruwa,2015,6,132.81,31.26,74.71,48.74,19.8,17.5,69.17
Sugarcane,Sri Lanka,Polonnaruwa,2021,5,138.42,30.31,71.33,57.19,18.0,19.12,75.69
Rice,Sri Lanka,Jaffna,2016,9,175.91,29.29,77.61,60.97,32.0,20.56,4.16
Rice,Sri Lanka,Trincomalee,2019,9,167.78,27.57,78.52,55.36,22.38,18.3,4.42
Rubber,Sri Lanka,Matara,2020,5,277.39,27.52,74.8,60.38,28.02,20.63,1.58
Sugarcane,Sri Lanka,Polonnaruwa,2019,1,75.02,28.43,74.39,54.68,23.48,17.53,70.46
Rubber,Sri Lanka,Matara,2024,12,226.25,31.14,73.12,53.45,26.04,18.81,1.62
Rice,Sri Lanka,Polonnaruwa,2019,12,128.86,26.32,74.71,61.79,22.83,23.1,4.67
Tea,Sri Lanka,Matara,2020,2,163.32,19.12,75.93,70.0,28.94,25.56,2.27
Rubber,Sri Lanka,Matara,2019,2,136.48,23.65,79.18,59.69,19.48,16.9,1.76
Rice,Sri Lanka,Anuradhapura,2025,9,167.14,28.95,81.51,65.77,26.05,27.39,4.22
Rice,Sri Lanka,Polonnaruwa,2025,10,175.84,26.7,70.88,52.67,24.01,18.87,4.19
Cinnamon,Sri Lanka,Galle,2017,7,279.86,29.23,76.69,53.4,22.63,15.0,0.62
Rice,Sri Lanka,Polonnaruwa,2017,6,232.96,29.43,83.07,66.5,30.54,19.92,4.29
Rice,Sri Lanka,Anuradhapura,2017,8,212.98,25.04,68.82,63.84,18.45,16.44,3.42
Rubber,Sri Lanka,Kegalle,2023,12,169.06,26.96,76.93,62.94,23.36,15.0,1.78
Rice,Sri Lanka,Jaffna,2016,11,110.09,23.53,76.9,48.8,24.81,15.0,4.1
Tea,Sri Lanka,Ratnapura,2024,11,217.18,24.87,84.39,64.44,24.13,21.38,1.87
Sugarcane,Sri Lanka,Anuradhapura,2017,12,66.41,31.12,76.96,64.73,18.0,17.9,76.59
Rubber,Sri Lanka,Kalutara,2020,2,136.51,31.63,80.55,65.89,29.85,15.0,1.58
Cinnamon,Sri Lanka,Kalutara,2021,10,202.66,29.24,80.5,73.99,19.49,17.95,0.65
Rubber,Sri Lanka,Kegalle,2019,11,188.9,26.52,68.08,49.63,18.0,19.87,1.55
Tea,Sri Lanka,Matara,2019,9,170.64,22.56,87.44,73.19,26.11,27.95,1.88
Rubber,Sri Lanka,Kegalle,2021,3,182.53,29.97,78.71,74.84,19.92,23.36,1.43
Tea,Sri Lanka,Ratnapura,2024,6,217.37,24.37,75.77,69.89,24.13,17.11,2.34
Cinnamon,Sri Lanka,Galle,2023,11,145.38,28.73,78.28,65.69,21.47,19.39,0.52
Rice,Sri Lanka,Jaffna,2022,5,140.83,30.65,80.72,60.32,25.55,25.91,4.46
Tea,Sri Lanka,Ratnapura,2019,3,110.77,18.66,81.45,66.6,27.31,17.86,2.23
Sugarcane,Sri Lanka,Anuradhapura,2019,4,84.29,27.13,74.81,60.11,18.15,20.49,76.92
Rubber,Sri Lanka,Ratnapura,2017,8,201.1,35.88,81.45,63.75,22.27,23.88,1.58
Rice,Sri Lanka,Kurunegala,2025,7,249.02,32.94,86.48,82.96,18.0,22.11,5.81
Cinnamon,Sri Lanka,Galle,2017,9,163.2,24.16,78.28,73.01,25.39,23.15,0.66
Rubber,Sri Lanka,Galle,2023,5,249.32,35.34,68.62,45.0,26.48,15.0,1.47
Sugarcane,Sri Lanka,Kurunegala,2015,9,110.78,27.48,68.95,55.2,18.0,17.44,77.66
Rice,Sri Lanka,Polonnaruwa,2015,2,138.39,30.53,71.85,58.78,26.25,15.0,4.58
Sugarcane,Sri Lanka,Polonnaruwa,2020,9,137.16,28.94,75.03,50.52,23.42,18.17,78.17
Rice,Sri Lanka,Anuradhapura,2018,4,217.68,28.96,67.68,62.48,24.05,24.45,4.5
Sugarcane,Sri Lanka,Anuradhapura,2019,1,81.4,29.2,77.92,63.48,25.27,18.31,75.96
Rubber,Sri Lanka,Matara,2022,5,188.41,33.35,83.92,74.09,27.6,23.03,1.71
Rice,Sri Lanka,Anuradhapura,2023,2,128.28,31.49,82.89,50.5,22.52,15.0,4.07
Sugarcane,Sri Lanka,Kurunegala,2024,2,87.3,25.81,65.56,48.84,21.54,15.7,78.65
Sugarcane,Sri Lanka,Polonnaruwa,2025,7,126.93,26.59,80.8,66.34,28.41,17.4,70.54
Rice,Sri Lanka,Trincomalee,2018,6,189.63,29.85,79.67,56.78,25.05,24.15,4.58
Sugarcane,Sri Lanka,Anuradhapura,2021,9,107.1,33.41,77.17,62.02,22.36,21.6,70.11
Tea,Sri Lanka,Ratnapura,2020,9,249.94,25.12,83.82,60.59,24.45,28.0,2.23
Rice,Sri Lanka,Polonnaruwa,2018,10,146.38,32.44,82.29,62.75,29.27,15.0,5.01
Cinnamon,Sri Lanka,Galle,2021,8,124.7,29.15,75.86,58.55,25.3,17.38,0.8
Cinnamon,Sri Lanka,Matara,2016,8,211.39,27.6,78.46,70.49,23.99,25.2,0.55
Rubber,Sri Lanka,Matara,2019,1,191.52,30.93,79.43,64.73,26.82,23.18,1.65
Tea,Sri Lanka,Matara,2021,7,354.89,22.37,83.34,71.68,24.78,15.0,2.3
Cinnamon,Sri Lanka,Matara,2015,7,207.42,28.49,77.61,58.55,21.0,19.04,0.56
Rubber,Sri Lanka,Ratnapura,2015,12,174.44,24.52,78.76,67.38,20.7,28.0,1.62
Tea,Sri Lanka,Nuwara Eliya,2018,1,189.92,18.8,74.74,60.14,26.22,17.52,2.16
Sugarcane,Sri Lanka,Kurunegala,2024,11,71.27,28.93,79.54,66.14,23.51,15.89,74.37
Cinnamon,Sri Lanka,Galle,2017,8,164.08,24.54,80.51,64.29,28.94,23.19,0.68
Tea,Sri Lanka,Matara,2024,1,203.35,16.91,67.8,51.89,24.18,21.95,2.14
Tea,Sri Lanka,Kandy,2019,6,292.2,22.1,77.53,61.78,20.05,23.99,2.47
Sugarcane,Sri Lanka,Kurunegala,2015,2,93.89,30.9,85.13,73.04,25.36,19.91,82.9
Sugarcane,Sri Lanka,Kurunegala,2017,11,69.09,33.49,78.36,55.43,22.79,20.31,73.39
Sugarcane,Sri Lanka,Polonnaruwa,2016,4,81.38,31.01,75.26,58.93,18.27,16.04,83.39
Sugarcane,Sri Lanka,Anuradhapura,2021,12,75.72,24.96,82.11,66.87,20.12,15.0,74.87
Sugarcane,Sri Lanka,Kurunegala,2018,11,97.05,32.93,74.85,52.32,22.13,21.5,83.27
Tea,Sri Lanka,Ratnapura,2023,2,193.72,17.34,77.88,66.5,18.0,15.0,2.1
Tea,Sri Lanka,Kandy,2016,3,140.0,22.07,73.03,55.17,18.71,15.0,2.57
Sugarcane,Sri Lanka,Kurunegala,2017,12,93.31,26.59,84.94,71.87,26.34,21.92,73.09
Rice,Sri Lanka,Anuradhapura,2021,7,233.2,34.61,74.87,55.56,24.97,19.69,4.32
Rubber,Sri Lanka,Kalutara,2018,11,239.58,31.35,85.72,74.21,32.0,25.92,1.64
Sugarcane,Sri Lanka,Polonnaruwa,2020,9,110.82,35.95,80.82,73.03,21.39,15.0,81.32
Sugarcane,Sri Lanka,Kurunegala,2016,5,110.66,32.56,81.26,74.47,24.31,20.82,70.51
Rubber,Sri Lanka,Matara,2018,11,156.13,28.15,79.09,64.96,27.15,20.39,1.6
Tea,Sri Lanka,Ratnapura,2020,11,193.05,23.24,75.47,61.32,25.84,19.37,2.09
Tea,Sri Lanka,Nuwara Eliya,2019,4,148.04,23.34,82.84,52.21,25.54,22.85,2.25
Rice,Sri Lanka,Jaffna,2025,8,234.87,28.02,75.69,58.63,18.0,16.08,3.8
Tea,Sri Lanka,Matara,2022,11,214.37,25.29,76.98,69.5,18.46,18.88,2.34
Tea,Sri Lanka,Kandy,2021,9,206.81,21.56,78.62,55.33,23.16,15.0,2.39
Tea,Sri Lanka,Ratnapura,2020,6,269.43,23.08,72.96,53.1,23.76,15.0,2.21
Rice,Sri Lanka,Kurunegala,2015,1,111.65,26.93,85.39,64.77,22.16,19.21,4.91
Sugarcane,Sri Lanka,Polonnaruwa,2022,6,162.52,31.43,84.41,69.26,18.0,23.94,71.53
Sugarcane,Sri Lanka,Polonnaruwa,2016,6,148.7,30.99,78.65,69.14,26.92,15.0,72.29
Rice,Sri Lanka,Polonnaruwa,2023,7,276.74,27.37,73.68,68.31,19.34,15.0,4.71
Rice,Sri Lanka,Jaffna,2019,12,117.82,26.5,82.34,54.79,23.41,19.61,4.76
Tea,Sri Lanka,Badulla,2022,4,172.58,20.08,72.63,51.29,22.13,19.92,1.98
Rice,Sri Lanka,Batticaloa,2015,5,205.72,31.78,80.68,69.97,28.78,17.99,3.86
Tea,Sri Lanka,Matara,2020,5,278.07,25.47,85.47,61.41,27.16,15.0,2.44
Rice,Sri Lanka,Polonnaruwa,2017,2,116.4,27.54,86.11,64.6,29.85,20.13,4.88
Sugarcane,Sri Lanka,Kurunegala,2021,10,111.21,29.92,76.58,58.73,18.0,19.79,79.0
Tea,Sri Lanka,Kandy,2018,12,208.34,19.0,80.19,68.34,27.22,19.08,2.32
Rubber,Sri Lanka,Kegalle,2015,6,207.97,27.68,83.73,48.79,24.23,24.05,1.68
Tea,Sri Lanka,Ratnapura,2021,4,179.89,21.99,72.68,50.85,29.42,26.56,2.15
Rubber,Sri Lanka,Ratnapura,2021,5,237.5,28.25,77.58,63.23,20.11,19.87,1.61
Sugarcane,Sri Lanka,Anuradhapura,2015,5,137.45,35.51,83.83,63.67,32.0,26.91,76.23
Tea,Sri Lanka,Kandy,2016,10,216.2,24.42,73.4,51.76,22.81,21.55,2.01
Rice,Sri Lanka,Polonnaruwa,2018,6,213.87,33.46,65.34,55.84,20.01,15.61,5.42
Rubber,Sri Lanka,Kalutara,2018,3,130.01,32.35,88.69,62.29,18.41,22.65,1.53
Rice,Sri Lanka,Batticaloa,2018,12,125.01,26.79,70.47,56.35,28.02,17.16,4.83
Sugarcane,Sri Lanka,Anuradhapura,2023,2,49.64,26.32,83.3,64.47,26.72,22.73,77.07
Rice,Sri Lanka,Kurunegala,2015,4,161.39,26.32,77.62,58.43,22.13,17.81,4.94
Cinnamon,Sri Lanka,Matara,2021,4,144.38,23.29,82.98,75.28,27.13,17.65,0.63
Rice,Sri Lanka,Polonnaruwa,2015,5,187.83,29.9,75.18,75.42,27.81,17.33,5.02
Rice,Sri Lanka,Polonnaruwa,2021,11,140.01,29.79,89.52,70.06,26.75,18.66,4.32
Tea,Sri Lanka,Kandy,2025,2,152.94,20.95,72.9,64.58,22.68,19.82,2.28
Tea,Sri Lanka,Badulla,2019,5,181.65,21.74,82.68,62.91,24.39,24.8,2.16
Rubber,Sri Lanka,Galle,2017,9,185.35,27.9,73.34,56.24,18.0,20.25,1.54
Sugarcane,Sri Lanka,Anuradhapura,2020,6,188.23,28.23,76.32,76.23,21.07,16.69,77.0
Cinnamon,Sri Lanka,Galle,2018,8,197.17,25.78,74.65,56.73,21.71,23.49,0.72
Tea,Sri Lanka,Badulla,2016,4,196.52,19.84,80.2,74.92,26.97,25.1,2.27
Rice,Sri Lanka,Jaffna,2021,12,107.3,24.43,69.37,55.62,26.69,17.87,4.37
Sugarcane,Sri Lanka,Kurunegala,2022,2,74.92,29.72,69.24,52.62,24.17,15.05,76.69
Rice,Sri Lanka,Batticaloa,2018,1,117.56,25.45,80.97,57.62,28.03,18.21,4.28
Sugarcane,Sri Lanka,Anuradhapura,2024,1,81.45,27.15,84.08,70.2,24.55,18.66,71.79
Cinnamon,Sri Lanka,Galle,2024,6,187.42,28.62,81.74,66.0,30.46,17.59,0.55
Rice,Sri Lanka,Trincomalee,2021,1,121.72,30.05,79.15,65.98,24.93,21.45,5.07
Cinnamon,Sri Lanka,Kalutara,2025,9,182.15,27.29,77.68,61.7,23.09,23.54,0.62
Rubber,Sri Lanka,Kalutara,2021,5,231.73,31.33,87.04,73.59,32.0,18.22,1.35
Rubber,Sri Lanka,Ratnapura,2016,5,211.19,28.91,74.44,63.16,21.74,15.3,1.51
Rice,Sri Lanka,Trincomalee,2015,7,219.35,32.26,83.05,63.14,26.53,23.5,4.09
Rubber,Sri Lanka,Galle,2016,7,246.87,34.86,82.33,62.0,27.49,21.67,1.63
Rice,Sri Lanka,Polonnaruwa,2020,5,181.36,31.36,77.19,65.84,20.57,22.73,4.89
Tea,Sri Lanka,Matara,2019,4,126.87,22.75,67.75,49.22,18.0,16.98,2.78
Sugarcane,Sri Lanka,Kurunegala,2015,10,85.11,34.16,79.66,69.31,19.5,21.61,76.67
Rice,Sri Lanka,Batticaloa,2024,6,272.35,24.7,76.43,62.73,19.89,16.05,4.39
Cinnamon,Sri Lanka,Matara,2020,11,153.78,25.63,76.22,58.44,26.88,15.42,0.58
Tea,Sri Lanka,Badulla,2018,4,189.96,18.48,81.55,62.15,20.06,15.45,2.41
Tea,Sri Lanka,Kandy,2016,9,216.09,20.74,82.7,54.37,20.9,20.12,2.58
Tea,Sri Lanka,Kandy,2025,7,270.05,21.43,80.92,63.41,29.25,15.0,2.43
Cinnamon,Sri Lanka,Matara,2023,1,132.72,26.49,79.38,56.96,22.01,25.62,0.77
Sugarcane,Sri Lanka,Polonnaruwa,2021,6,131.84,34.26,79.13,74.27,18.96,19.05,69.72
Cinnamon,Sri Lanka,Galle,2024,3,141.72,26.02,80.09,63.68,26.01,21.99,0.64
Sugarcane,Sri Lanka,Anuradhapura,2024,3,58.49,27.28,75.34,64.91,25.41,15.53,69.1
Cinnamon,Sri Lanka,Matara,2024,11,146.31,29.14,86.45,61.32,23.7,18.29,0.7
Rubber,Sri Lanka,Kalutara,2020,3,116.34,29.47,83.22,72.76,24.74,26.07,1.36
Rice,Sri Lanka,Polonnaruwa,2020,7,214.43,28.27,79.25,61.33,24.27,25.82,4.67
Rubber,Sri Lanka,Galle,2022,6,216.55,33.59,79.07,59.65,30.0,17.46,1.46
Cinnamon,Sri Lanka,Galle,2015,9,254.07,25.19,80.76,57.4,22.35,19.86,0.67
Cinnamon,Sri Lanka,Galle,2025,12,166.28,23.38,78.68,72.58,29.73,22.74,0.75
Rubber,Sri Lanka,Kegalle,2023,3,132.22,26.05,67.01,51.83,18.88,15.0,1.54
Tea,Sri Lanka,Nuwara Eliya,2021,11,217.89,23.1,76.52,66.78,19.64,15.0,1.97
Sugarcane,Sri Lanka,Polonnaruwa,2019,2,98.03,25.69,84.4,59.0,25.28,21.84,72.03
Tea,Sri Lanka,Kandy,2020,5,207.72,24.78,75.07,53.47,24.43,16.29,2.07
Rubber,Sri Lanka,Matara,2020,11,185.77,29.49,76.1,64.57,20.07,16.01,1.38
Tea,Sri Lanka,Matara,2017,10,156.8,21.34,80.53,64.75,24.84,15.0,2.17
Cinnamon,Sri Lanka,Kalutara,2021,2,129.15,23.57,84.68,75.56,28.48,22.9,0.95
Cinnamon,Sri Lanka,Kalutara,2023,5,217.53,26.74,77.76,60.84,18.0,20.55,0.66
Rice,Sri Lanka,Anuradhapura,2021,4,176.01,24.14,79.8,62.46,20.19,25.27,4.92
Rubber,Sri Lanka,Ratnapura,2023,3,121.88,27.53,81.41,74.79,22.55,19.7,1.83
Rice,Sri Lanka,Polonnaruwa,2018,1,103.41,23.71,74.02,55.9,19.8,17.22,5.0
Sugarcane,Sri Lanka,Polonnaruwa,2021,10,99.17,35.81,80.98,70.04,19.42,15.31,80.1
Rice,Sri Lanka,Batticaloa,2024,10,144.92,24.83,75.97,64.25,31.53,15.86,4.68
Sugarcane,Sri Lanka,Polonnaruwa,2019,11,74.93,30.78,79.38,60.87,27.18,20.0,72.68
Sugarcane,Sri Lanka,Polonnaruwa,2025,7,104.57,33.13,83.01,78.63,29.87,18.99,67.71
Sugarcane,Sri Lanka,Anuradhapura,2017,1,91.7,24.05,74.58,59.88,18.0,15.0,70.49
Sugarcane,Sri Lanka,Polonnaruwa,2024,2,76.15,27.82,70.8,59.41,26.0,18.21,79.02
Tea,Sri Lanka,Ratnapura,2025,11,181.01,21.54,78.69,62.47,28.53,19.6,2.3
Tea,Sri Lanka,Matara,2017,6,319.25,22.29,78.17,59.57,22.74,24.78,2.27
Sugarcane,Sri Lanka,Polonnaruwa,2025,11,93.62,31.61,82.76,68.15,29.74,18.53,81.78
Rubber,Sri Lanka,Matara,2017,9,217.85,27.47,80.6,66.27,22.38,17.48,1.72
Tea,Sri Lanka,Nuwara Eliya,2015,4,130.93,23.91,80.01,52.67,25.37,15.47,1.95
Cinnamon,Sri Lanka,Matara,2016,9,184.64,27.24,72.66,67.36,19.73,21.02,0.72
Cinnamon,Sri Lanka,Kalutara,2024,5,186.11,28.12,82.2,70.32,32.0,18.15,0.8
Cinnamon,Sri Lanka,Matara,2016,4,123.91,27.63,73.18,65.87,21.19,16.42,0.71
Tea,Sri Lanka,Kandy,2020,1,141.94,25.53,75.35,57.85,23.57,21.19,2.69
Cinnamon,Sri Lanka,Kalutara,2024,9,162.8,31.8,81.71,64.99,31.64,24.43,0.57
Rice,Sri Lanka,Jaffna,2020,1,105.64,29.55,59.46,55.91,18.0,15.0,4.65
Sugarcane,Sri Lanka,Kurunegala,2016,5,121.0,35.15,82.45,61.69,18.0,22.25,67.94
Rice,Sri Lanka,Kurunegala,2025,10,157.26,24.89,82.75,54.84,27.63,20.66,4.88
Cinnamon,Sri Lanka,Matara,2018,2,160.42,24.21,94.69,63.48,32.0,22.86,0.68
Tea,Sri Lanka,Ratnapura,2025,5,242.81,21.49,74.23,56.77,27.69,22.87,2.3
Rubber,Sri Lanka,Matara,2025,9,184.47,33.82,83.2,76.49,32.0,22.83,1.48
Cinnamon,Sri Lanka,Galle,2022,8,185.01,24.85,74.53,56.57,27.71,20.56,0.71
Rice,Sri Lanka,Kurunegala,2018,11,148.03,26.11,82.33,72.46,27.87,17.21,4.84
Rice,Sri Lanka,Kurunegala,2023,12,103.31,29.28,82.17,70.46,24.16,18.19,3.74
Cinnamon,Sri Lanka,Kalutara,2018,3,129.69,25.99,82.6,63.88,20.83,17.91,0.75
Sugarcane,Sri Lanka,Kurunegala,2021,8,121.47,30.93,69.12,54.7,18.0,20.04,82.74
Tea,Sri Lanka,Kandy,2019,1,161.87,23.25,77.85,63.68,28.74,21.3,2.3
Rubber,Sri Lanka,Ratnapura,2019,10,201.31,27.9,74.46,72.57,23.31,15.87,1.53
Sugarcane,Sri Lanka,Polonnaruwa,2017,11,71.92,30.07,70.53,61.33,20.58,18.21,80.52
Tea,Sri Lanka,Nuwara Eliya,2017,3,171.21,23.49,78.52,59.14,29.31,20.0,2.22
Sugarcane,Sri Lanka,Anuradhapura,2015,4,89.83,33.87,74.07,62.02,19.69,16.46,69.22
Rice,Sri Lanka,Kurunegala,2020,3,119.1,24.29,77.65,66.4,20.64,18.35,4.49
Rice,Sri Lanka,Anuradhapura,2017,10,146.28,24.07,75.36,61.73,24.43,15.94,4.32
Cinnamon,Sri Lanka,Galle,2019,8,222.24,25.96,85.81,76.4,27.07,23.39,0.73
Tea,Sri Lanka,Badulla,2016,8,235.69,20.39,86.09,60.62,19.03,19.79,1.98
Cinnamon,Sri Lanka,Kalutara,2016,11,193.99,23.07,72.8,57.88,23.49,17.73,0.66
Rubber,Sri Lanka,Galle,2022,8,232.17,35.07,79.27,59.44,19.7,17.08,1.56
Sugarcane,Sri Lanka,Polonnaruwa,2020,7,180.13,33.58,70.95,57.33,20.38,21.1,72.63
Sugarcane,Sri Lanka,Kurunegala,2023,12,84.44,25.89,74.47,48.49,25.66,24.64,75.95
Cinnamon,Sri Lanka,Kalutara,2015,7,226.09,27.29,83.04,61.77,27.76,27.11,0.75
Sugarcane,Sri Lanka,Polonnaruwa,2016,8,143.44,28.69,75.58,52.77,18.98,18.02,77.17
Rice,Sri Lanka,Polonnaruwa,2017,4,181.27,24.49,88.94,57.67,24.17,21.87,4.41
Cinnamon,Sri Lanka,Galle,2024,11,139.07,27.29,77.26,61.26,30.75,15.0,0.69
Tea,Sri Lanka,Ratnapura,2016,4,179.21,19.2,80.95,72.13,22.85,15.0,2.19
Tea,Sri Lanka,Badulla,2018,9,221.6,22.98,78.05,60.56,24.53,16.72,2.2
Tea,Sri Lanka,Badulla,2020,2,175.09,19.68,73.79,55.62,28.87,23.28,2.2
Rubber,Sri Lanka,Kegalle,2025,3,158.76,24.21,76.93,61.6,23.38,20.29,1.58
